Organism	Type	1	2	3	4	5	6
Stentor coeruleus	Ciliate (Standard Code)	0.179679264	0.082837811	0.219979038	0.107219743	0.032175968	0.065229272
Euplotes octocarinatus	"Ciliate (Stop = UAG, UAA)"	-0.211247742	-0.056406002	-0.031997139	-0.011149298	-0.021828684	-0.039596916
Ichthyophthirius mutifilis	Ciliate (Stop = UGA)	0.350200282	0.055094757	0.117346373	0.093642121	-0.049354458	-0.023659308
Oxytricha trifallax	Ciliate (Stop = UGA)	0.258172013	0.454173619	0.479632803	0.510706557	0.353422185	0.335708985
Paramecium tetraurelia 	Ciliate (Stop = UGA)	0.669694432	0.597889026	0.453901808	0.338472913	0.133747663	0.090665299
Pseudocohnilembus persalinus	Ciliate (Stop = UGA)	0.681007855	0.756165758	0.750248412	0.574578339	0.111181149	0.187369524
Stylonychia lemnae	Ciliate (Stop = UGA)	0.51763739	0.540194405	0.461025134	0.463367532	0.427073322	0.379809378
Tetrahymena	Ciliate (Stop = UGA)	0.211848479	0.291306835	0.562525951	0.552622352	0.219075796	0.160673833
Giardia intestinalis	Diplomonad (Standard Code)	-0.164794154	0.036495769	0.122769074	0.037930996	-0.031187678	-0.09631651
Giardia muris	Diplomonad (Standard Code)	-0.197855311	-0.046228082	-0.034917684	0.08793409	-0.061688832	-0.247167782
Spironucleus salmonicida	Diplomonad (Stop = UGA)	0.242352004	0.026787519	0.017720403	-0.021106152	-0.310258994	-0.478256714
Babesia sp.	Other Alveolates (Standard Code)	-0.114773521	-0.0538752	0.029718718	0.062025986	0.011565772	-0.010633385
Cryptosporidium muris	Other Alveolates (Standard Code)	-0.170971791	0.09235466	0.009837251	-0.00178233	0.034756371	-0.046109268
Cryptosporidium parvum	Other Alveolates (Standard Code)	-0.150629359	-0.074213591	0.048047054	-0.108944538	-0.042460224	-0.088259124
Neospora caninum	Other Alveolates (Standard Code)	-0.72957634	-0.579851521	-0.58022311	-0.436398013	-0.566105366	-0.51472349
Plasmodium falciparum	Other Alveolates (Standard Code)	-0.404691955	-0.253619172	-0.366653668	-0.369530781	-0.191045847	-0.288080002
Plasmodium vivax	Other Alveolates (Standard Code)	-0.536653702	-0.412886015	-0.137815275	-0.187126895	-0.111433972	-0.275193041
Theileria equi	Other Alveolates (Standard Code)	0.04585232	-0.154295052	-0.09695456	-0.116627193	-0.108259074	-0.117167967
Theileria orientalis 	Other Alveolates (Standard Code)	-0.597285415	-0.064966349	0.001322856	-0.060666341	0.125293498	0.059595498
Toxoplasma gondii	Other Alveolates (Standard Code)	-0.619551814	-0.476605517	-0.534996099	-0.40379543	-0.525490447	-0.518488012
Vitrella brassicaformis	Other Alveolates (Standard Code)	-0.095575704	-0.451131472	-0.091330956	0.159508835	-0.216986601	-0.311018654
Symbiodinium microadriaticum	Other Alveolates (Standard Code)	-0.32183427	-0.050330944	-0.098763237	-0.132097156	-0.115275678	-0.124180688
Perkinsus marinus 	Other Alveolates (Standard Code)	0.221200422	-0.064443432	-0.002313587	-0.066393036	-0.07317092	-0.036238394
Aureococcus anophagefferens	Other Eukaryotes (Standard Code)	-0.013914779	-0.031259686	0.062158896	0.287968269	0.099015629	-0.03352499
Blastocystis hominis	Other Eukaryotes (Standard Code)	-0.320642702	-0.322687299	-0.213739199	-0.177014626	-0.224265128	-0.23652067
