Organism	Taxon	#UTR	Observed	Expected	ProbabilityOfStop
Stentor coeruleus	Ciliate (Standard Code)	34247	18582	16414.247521827467	0.10305466670252951
Euplotes octocarinatus	Ciliate (Stop = UAG, UAA)	28836	10028	10713.557646896756	0.07449177003181082
Ichthyophthirius mutifilis	Ciliate (Stop = UGA)	6852	628	566.9926435296034	0.014292473507004506
Oxytricha trifallax	Ciliate (Stop = UGA)	24776	3849	2573.763471669735	0.018114329335950773
Paramecium tetraurelia 	Ciliate (Stop = UGA)	39248	4912	3262.2956313442883	0.014359032943963838
Pseudocohnilembus persalinus	Ciliate (Stop = UGA)	13176	1752	1013.5399420248332	0.013251881856158203
Stylonychia lemnae	Ciliate (Stop = UGA)	15741	2629	1646.686209557388	0.01824768003302556
Tetrahymena borealis	Ciliate (Stop = UGA)	20342	2900	1982.3340499085648	0.016943405521885346
Tetrahymena ellioti	Ciliate (Stop = UGA)	20223	2470	1704.792703807936	0.014570498494666198
Tetrahymena malaccensis	Ciliate (Stop = UGA)	21694	2626	1863.5819013490316	0.014858292846116337
Tetrahymena thermophila	Ciliate (Stop = UGA)	26498	3046	2259.497423306154	0.014744695498194422
Giardia intestinalis	Diplomonad (Standard Code)	6498	1779	1800.0026292618913	0.052624439401139415
Giardia muris	Diplomonad (Standard Code)	4650	1126	1216.1552592018538	0.04927565048509058
Spironucleus salmonicida	Diplomonad (Stop = UGA)	8079	798	841.4919681651514	0.01816485186313829
Babesia sp.	Other Alveolates (Standard Code)	3064	994	1009.2725704890354	0.06442722319408942
Cryptosporidium muris	Other Alveolates (Standard Code)	3904	1774	1799.4559048996973	0.09785841296162946
Cryptosporidium parvum	Other Alveolates (Standard Code)	3150	1258	1348.7387972717368	0.08894550155636163
Neospora caninum	Other Alveolates (Standard Code)	6883	911	1608.5796898749597	0.043394601172300255
Plasmodium falciparum	Other Alveolates (Standard Code)	5321	2012	2763.1942081175944	0.11492708381611931
Plasmodium vivax	Other Alveolates (Standard Code)	5153	955	1255.3997845427991	0.045470126876174105
Theileria equi	Other Alveolates (Standard Code)	5328	1701	1850.9889027138852	0.06866274288753478
Theileria orientalis 	Other Alveolates (Standard Code)	3924	1298	1414.218470437701	0.0717795050113442
Toxoplasma gondii	Other Alveolates (Standard Code)	8260	1267	2116.443574487261	0.048139509425683125
Vitrella brassicaformis	Other Alveolates (Standard Code)	22611	4491	5211.374863418655	0.042725066450531535
Symbiodinium microadriaticum	Other Alveolates (Standard Code)	40449	8094	9305.225335777963	0.04263566793999604
Perkinsus marinus 	Other Alveolates (Standard Code)	18000	5118	5071.252489764215	0.05365972208417875
Aureococcus anophagefferens	Other Eukaryotes (Standard Code)	7358	1226	1146.561294652518	0.027837786373253782
Blastocystis hominis	Other Eukaryotes (Standard Code)	6001	1584	2038.1358861746842	0.06682249981720681
Ectocarpus siliculosus	Other Eukaryotes (Standard Code)	16045	3099	3729.264220139809	0.04312889490612896
Hondaea fermentalgiana	Other Eukaryotes (Standard Code)	11150	2580	3120.7690485231665	0.053254650622318433
Hyphochytrium catenoides	Other Eukaryotes (Standard Code)	9512	2441	2643.4406855874927	0.05282047395075121
Nannochloropsis gaditana	Other Eukaryotes (Standard Code)	1778	365	469.18706401050696	0.04977970114253506
Phytophthora infestans	Other Eukaryotes (Standard Code)	17517	4571	5183.23433139699	0.05679521825357815
Pseudo-nitzschia multistriata	Other Eukaryotes (Standard Code)	11848	2714	3602.3738592929362	0.058624049619482366
Saprolegnia diclina	Other Eukaryotes (Standard Code)	16729	3780	4294.039886957458	0.04823644831883394
Thalassiosira pseudonana	Other Eukaryotes (Standard Code)	9317	2984	3289.4727642984585	0.07001235060052907
Emiliania huxleyi	Other Eukaryotes (Standard Code)	31803	4477	5109.512177518288	0.02876824755699657
Acanthamoeba castellanii	Other Eukaryotes (Standard Code)	13955	2447	2968.8703992785872	0.03908314134942136
Acytostelium subglobosum	Other Eukaryotes (Standard Code)	9686	3169	3222.1967771962322	0.06518872115517939
Cavenderia fasciculata	Other Eukaryotes (Standard Code)	12139	5220	5661.632561133215	0.09939171666989353
Dictyostelium discoideum 	Other Eukaryotes (Standard Code)	13091	6234	7174.093655542605	0.12396731109507005
Entamoeba histolytica	Other Eukaryotes (Standard Code)	8016	3152	3415.265986516331	0.08838477550940725
Reticulomyxa filosa	Other Eukaryotes (Standard Code)	23757	6564	9433.76880584251	0.08087431907711537
Leishmania major	Other Eukaryotes (Standard Code)	8324	1232	1592.7973957397328	0.03477899322228871
Leptomonas seymouri	Other Eukaryotes (Standard Code)	8309	1472	1956.2928363280146	0.04375682992634561
Phytomonas	Other Eukaryotes (Standard Code)	6372	1772	2139.162914946862	0.06590159380767266
Trypanosoma cruzi	Other Eukaryotes (Standard Code)	16513	3967	5137.174752851385	0.060220093366270114
Leishmania braziliensis	Other Eukaryotes (Standard Code)	8117	1355	1740.1562317218138	0.03941668571535138
Trichomonas vaginalis	Other Eukaryotes (Standard Code)	53710	16339	22542.111971910002	0.08670999712262013
Tritrichomonas foetus	Other Eukaryotes (Standard Code)	22975	8154	9662.958459801244	0.0869423686072594
